60 12
 Fo Kpol Kvn KPD SINЛ ЛИН,кГ Fo1 Kpol1 Kvn1 KPD1 SINЛ1 ЛИН1,кГ
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0313 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0314 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0315 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0316 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0317 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0318 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0319 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0320 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0321 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0322 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0323 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0356 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0357 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0358 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0359 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0360 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0361 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0401 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0402 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0403 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0404 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0405 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0406 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0453 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0454 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0455 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0456 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0457 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0458 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.052  0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0521 0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0522 0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0523 0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0524 0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0525 0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0557 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.0558 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.0559 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.0560 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.0562 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.0563 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.0564 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0565 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0566 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0567 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0577 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0578 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0589 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
